sample,doublet_rate
MBM01_sc_CD45pos,0.049
MBM02_sc_CD45neg,0.049
MBM02_sc_CD45pos,0.049
MBM03_sc_CD45neg,0.049
MBM03_sc_CD45pos,0.049
MBM04_sc_CD45neg,0.049
MBM04_sc_CD45pos,0.049
MBM05_sc_CD45neg,0.049
MBM05_sc_CD45pos,0.049
MBM05_sn,0.0282
MBM06_sn,0.0370
MBM07_sn,0.0370
MBM08_sn,0.0370
MBM09_sn,0.0370
MBM10_sn,0.0370
MBM11_sn,0.0370
MBM12_sn,0.0370
MBM13_sn,0.0443
MBM14_sn,0.0443
MBM15_sn,0.0443
MBM16_sn,0.0443
MBM17_sn,0.0443
MBM18_sn,0.0460
MBM19_sn,0.0443
MBM20_sn,0.0443
MBM21_sn,0.0443
MPM01_sn,0.046
MPM02_sn,0.0644
MPM04_sn,0.0644
MPM05_sn,0.0644
MPM06_sn,0.0443
MPM07_sn,0.0443
MPM08_sn,0.0443
MPM09_sn,0.0443
MPM10_sn,0.0443
MPM11_sn,0.0443